author_id,author_geo_origin
4340310000000000000,TX                                                
3891640000000000000,TX                                                
5206840000000000000,LA                                                
-1032020000000000000,BW                                                
4670270000000000000,DF                                                
4340306774493623681,TX                                                
3891637997717104548,ZH                                                
5206835909720479405,PE                                                
-1032019229384696495,NH                                                
4670267857749552625,ES                                                
1895326251577378793,OR                                                
-1443636648652872475,BW                                                
-8606085472606356565,CL                                                
-108842214936804958,NH                                                
-1387464358334758758,CT                                                
-5527145562136413747,ENG                                               
-3390049372067052505,DC                                                
2416280733544962613,MG                                                
-7421703586506797266,C                                                 
-8020832670974472349,MT                                                
8414731042150985013,CDMX                                              
-709287718034731589,QLD                                               
-8845298781299428018,AB                                                
-9016528795238256703,NSW                                               
-1578287561410088674,FL                                                
3609194402293569455,MS                                                
-7531858294361854119,MG                                                
-2626634673110551643,BOL                                               
8341545449730058951,C                                                 
-2525380383541287600,AB                                                
-4467650312287951120,PR                                                
2833428826475063405,NJ                                                
-9001583565812478106,OK                                                
-6944500707172804068,CE                                                
-3247191585239311338,CT                                                
6003902177042843076,RJ                                                
1623838599684589103,NJ                                                
-2979881261169775358,KS                                                
-1130272294246983140,CA                                                
6644119361202586331,NSW                                               
5660542693104786364,DC                                                
3622641762376806537,CDMX                                              
-4243635261966794110,NJ                                                
3829784524040647339,CE                                                
2062670502532932588,NV                                                
5746645399823844475,OR                                                
6735372008307093370,PR                                                
-8550167523008133722,OH                                                
268671367195911338,MT                                                
-6030696784871381528,LA                                                
-8860671864164757449,SC                                                
692689608292948411,MT                                                
2901546026085255870,MI                                                
8572969747961902966,AB                                                
-7496361692498935601,SC                                                
-299809122140089170,NH                                                
-6316613156648676087,IN                                                
1748162647671155552,HE                                                
-7299489921519728176,ON                                                
3375381077362025672,R                                                 
8164031568920151381,PE                                                
-5264754785175108362,RI                                                
3429602690322213789,WA                                                
3302556033962996625,MO                                                
6650574433856141080,AZ                                                
-2820994773540913369,SC                                                
4402305355102966434,CL                                                
3217014177234377440,NY                                                
6971525809430309144,RI                                                
4142810830429822977,MO                                                
301435144665447655,MG                                                
8676130229735483748,CO                                                
-5094446514734487376,NV                                                
1120069409160402054,BOL                                               
3734911646343191965,C                                                 
-5868110530814399805,DF                                                
5683029675627635125,ENG                                               
9109075639526981934,ENG                                               
-6527231059484292598,SP                                                
-2050699458865052139,CDMX                                              
-1836083230511905974,WI                                                
-6411371239765052331,MA                                                
-3500661007957156229,CL                                                
8656322302973426874,PA                                                
-331066625167168067,QLD                                               
-2623844842607044962,BC                                                
4209517478660372522,CDMX                                              
-5803328010978180572,GA                                                
801895594717772308,MT                                                
-48161796606086482,BA                                                
3915038251784681624,DC                                                
-8336698712796133957,MG                                                
-5374802517306837266,CL                                                
490109768671667408,AB                                                
9038446466275805109,SP                                                
-7456488753754080246,AB                                                
8354413736311351349,WI                                                
-9009798162809551896,MI                                                
-3596626804281480007,MG                                                
-4028919343899978105,MN                                                
7392990465409599343,C                                                 
-7377845572432324217,BC                                                
6013226412048763966,RM                                                
7527226129639571966,ENG                                               
-2726721797588771398,GA                                                
7890134385692540512,TX                                                
8968131284214320024,IL                                                
5127372011815639401,MH                                                
-8694104221113176052,NH                                                
-8123627990288459252,C                                                 
8420481937548705787,MI                                                
881856221521045800,DF                                                
-6153009241569363021,LA                                                
-8132559109129514792,PI                                                
5707382540067831352,C                                                 
7703284633155187943,CDMX                                              
2542290381109225938,PE                                                
-5639303336519418445,NV                                                
-5708042355439521851,HE                                                
-1479311724257856983,RJ                                                
-315113304665694510,MA                                                
5598537709124463353,HE                                                
-4092545774372727680,VA                                                
5175412143320664868,MO                                                
-6946355789336786528,RJ                                                
-3637188778150475975,MT                                                
8766802480854827422,PI                                                
-1799631734242668035,MO                                                
2279740393166882579,NJ                                                
-2772844562500836582,MA                                                
3061273947166110301,KS                                                
-5388083602161519863,BE                                                
-3535274684588209118,PA                                                
3636910968448833585,NC                                                
-8830250090736356260,WA                                                
-5823562314929634489,AZ                                                
-492179582639058400,TX                                                
-2785363955043455312,MI                                                
-1561982036714087726,GA                                                
693665567872370395,LA                                                
4918484843075254252,CA                                                
1766257854965201953,MS                                                
3061140421699761127,MA                                                
7645894863578715801,KS                                                
2146546851324474301,DC                                                
-6895155480127642372,HE                                                
22763587941636338,OH                                                
816623031097334102,KS                                                
8841741572929644986,PR                                                
-1616903969205976623,WI                                                
7438444945156715220,TX                                                
-1602833675167376798,NSW                                               
-4627026983118548639,NH                                                
-1352064057049251194,QLD                                               
7774613525190730745,DF                                                
8759620187357735368,BE                                                
3106760029136205156,CT                                                
-2042597956641525807,CO                                                
6040926917589508037,SP                                                
2553895156129400476,ZH                                                
-6568916788996709634,KS                                                
4417246933621591943,FL                                                
-3508202263850468997,MA                                                
6634405260717362812,HE                                                
8250502084456448386,SP                                                
-7711052404720939396,BE                                                
-8424644554119645763,FL                                                
-9120685872592674274,FL                                                
-5380862725077089346,IN                                                
534764222466712491,SP                                                
-534549863526737439,MH                                                
-3107690258526146180,ES                                                
2290322765105220968,AZ                                                
-4298177694576275482,IL                                                
-2901997243166418276,MN                                                
1908339160857512799,NE                                                
-7118575739764684077,ZH                                                
-6786856227257648356,DC                                                
-3203894957285229214,CL                                                
-9047547311469006438,RS                                                
3938645257702379823,R                                                 
6960073744377754728,TX                                                
6756039155228175109,PI                                                
3743121668889758064,D                                                 
-2979537012405607453,MG                                                
-4465926797008424436,BW                                                
-4125205337625989832,NC                                                
-6067316262393890508,MO                                                
2754566407772265068,OH                                                
8029287010580464803,CDMX                                              
4227773676394505435,LA                                                
-2337468721613240548,WI                                                
-6037268165948401442,R                                                 
2405211284771043881,NJ                                                
1317292353478724560,FL                                                
7580644064067188685,CA                                                
-6627505417926774253,OH                                                
2653698047369148236,NE                                                
-1848938642635494958,MI                                                
7421498048184238966,WA                                                
-1393866732742189886,AB                                                
-7606731662737258050,VA                                                
3396828831632510915,MS                                                
-89388927330481219,HE                                                
2682799999279860984,MH                                                
4568163094592867577,MI                                                
2195040187466632600,CT                                                
4110069906204072059,NE                                                
-7611460419696903236,BOL                                               
-6611967527589759673,CE                                                
-1367575386492755119,BC                                                
997469202936578234,GA                                                
-8606737560479590536,RI                                                
-1402490765047599382,NV                                                
-4432034906943587380,CT                                                
6967147874415599925,RI                                                
6571439471025671820,MA                                                
-2690891220216547125,NC                                                
-3595444231792050977,OR                                                
-5118506922564478779,D                                                 
-8205402408645015051,CO                                                
998688566268269815,SC                                                
-4585796377251906117,PI                                                
6686977580828209471,NC                                                
1374824663945909617,WA                                                
361614354650880527,MO                                                
8674645243865302728,LA                                                
-35428957105270993,RM                                                
-7148295538010878187,CO                                                
-3643155458357242906,R                                                 
-8241940599580729220,BA                                                
7308881151087125462,BOL                                               
6773859371279096371,AB                                                
3592784031357342393,NV                                                
4055967006701596284,RJ                                                
-1251984896177895077,ZH                                                
2612012348742830907,GA                                                
-1819083151847984459,ENG                                               
2597011162480707820,CE                                                
-1915495401947962903,ES                                                
-2465847828331443343,CL                                                
-1372859690779491423,R                                                 
-7410485589492665094,PE                                                
9210530975708218054,WA                                                
-4246040813531967142,NSW                                               
-6730258785244938562,MT                                                
102305705598210278,OH                                                
-8420584158427265596,OR                                                
-3458422503840091409,D                                                 
8195788452563155020,D                                                 
-1863544689523892600,PR                                                
3118792477913513242,CL                                                
1811781596621121379,CL                                                
-8781306637602263252,BOL                                               
8516196196975927,PR                                                
599868086167624974,MI                                                
-5706287032724665714,CO                                                
